respondent_id,age_group,occupation,region_type,education,income_band,formal_menstrual_education,awareness_cup_infection,awareness_pad_health_risk,awareness_reusable_underwear_risk,awareness_pantiliner_risk,self_reported_information_sufficiency,comfort_importance,cost_importance,availability_importance,health_risk_importance,leakage_protection_importance,durability_importance,reusability_importance,variants_importance,brand_importance,quality_importance,sustainability_importance,affordability_importance,primary_product,satisfaction,usage_duration,uses_alternatives,changed_product_5y,future_switch_intention,discussion_comfort,cultural_influence,cultural_taboos,social_stigma,awareness_score,awareness_category
R054,18-25,Student,Urban,Post Graduate,600000 -1000000,Somewhat,Yes,Yes,Yes,Yes,Yes,4,3,4,4,5,5,1,5,4,5,1,5,Sanitary pad,4,More than 5 years,No,No,Maybe,Yes,2,No,No,1.0,High
R055,18-25,Student,Urban,Post Graduate,400000 - 600000,Yes,Yes,Yes,Yes,No,Not sure,5,4,4,4,5,4,5,4,4,5,5,3,Sanitary pad,2,More than 5 years,Sometimes,No,Maybe,Sometimes,3,No,No,0.7,Moderate
R056,18-25,Student,Suburban,Post Graduate,600000 -1000000,Yes,Yes,Yes,Yes,Yes,Not sure,5,4,4,5,5,5,5,5,5,5,4,5,Sanitary pad,4,1-3 years,No,No,Yes,Yes,5,No,No,0.9,High
R057,18-25,Student,Urban,Post Graduate,<= 200000,Yes,Yes,Yes,Yes,Yes,Yes,5,3,4,5,5,5,4,5,4,4,4,4,Sanitary pad,3,More than 5 years,Sometimes,No,Maybe,Yes,5,No,No,1.0,High
R058,18-25,Student,Rural,Post Graduate,<= 200000,Yes,Yes,No,Yes,No,Not sure,4,4,4,4,4,4,4,4,4,4,4,4,Sanitary pad,3,More than 5 years,No,No,Yes,Yes,3,Maybe,No,0.5,Moderate
R059,18-25,Student,Urban,Graduate,400000 - 600000,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,2,4,2,4,4,4,4,4,Sanitary pad,4,More than 5 years,No,No,No,Yes,4,No,No,1.0,High
R060,18-25,Student,Urban,Post Graduate,600000 -1000000,Somewhat,Yes,Yes,Yes,Yes,Not sure,4,4,4,4,4,4,3,4,4,4,3,4,Sanitary pad,4,More than 5 years,No,No,Maybe,Yes,4,Maybe,No,0.9,High
R061,18-25,Student,Urban,Post Graduate,200000 - 400000,No,Yes,Yes,Yes,Yes,Yes,5,3,3,5,5,5,1,3,5,5,4,3,Sanitary pad,1,More than 5 years,No,No,Maybe,Yes,5,No,No,1.0,High
R062,18-25,Student,Urban,Post Graduate,400000 - 600000,Yes,Yes,Yes,Yes,Yes,No,5,3,5,5,5,5,1,4,5,5,4,5,Sanitary pad,2,More than 5 years,No,No,Maybe,Sometimes,4,No,Maybe,0.8,High
R063,18-25,Student,Suburban,Post Graduate,>= 1000000,No,Yes,No,No,No,Not sure,4,3,5,5,5,5,1,3,5,5,2,5,Sanitary pad,3,More than 5 years,No,No,Yes,Yes,5,No,No,0.3,Low
R064,18-25,Student,Urban,Post Graduate,<= 200000,No,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5,4,5,4,5,5,5,Sanitary pad,3,More than 5 years,No,No,Yes,Yes,5,No,No,1.0,High
R065,18-25,Student,Urban,Post Graduate,400000 - 600000,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4,2,4,4,4,4,4,Sanitary pad,2,More than 5 years,No,No,No,Yes,3,No,No,1.0,High
R066,26-35,Employed,Suburban,Post Graduate,400000 - 600000,No,No,No,No,Yes,Not sure,4,4,5,5,5,5,4,4,4,5,4,5,Sanitary pad,1,More than 5 years,No,No,Maybe,Yes,4,No,No,0.3,Low
R067,18-25,Student,Suburban,Post Graduate,400000 - 600000,Somewhat,Yes,Yes,Yes,Yes,Yes,5,4,3,4,5,5,3,5,5,4,4,5,Sanitary pad,4,More than 5 years,Sometimes,No,Maybe,Yes,5,Yes,Maybe,1.0,High
R068,26-35,Homemaker,Urban,PhD,400000 - 600000,Yes,No,Yes,Yes,No,No,5,3,4,5,5,5,3,4,2,5,4,3,Sanitary pad,2,More than 5 years,No,No,Maybe,Yes,5,No,No,0.4,Low
R069,18-25,Student,Urban,Post Graduate,>= 1000000,No,Yes,No,Yes,Yes,Not sure,3,4,3,3,2,3,3,3,4,4,4,5,Sanitary pad,3,Less than 1 year,Yes,Yes,Yes,Yes,3,Yes,Maybe,0.7,Moderate
R070,26-35,Employed,Urban,Post Graduate,>= 1000000,No,Yes,Yes,Yes,Yes,Yes,3,3,2,5,5,5,5,5,5,5,5,5,Sanitary pad,3,More than 5 years,No,No,Maybe,Yes,4,Yes,No,1.0,High
R071,18-25,Unemployed,Suburban,Post Graduate,200000 - 400000,No,No,Yes,No,No,Not sure,5,4,4,5,5,5,5,5,3,5,3,4,Sanitary pad,3,More than 5 years,Sometimes,No,Yes,Sometimes,4,Maybe,Maybe,0.3,Low
R072,18-25,Student,Urban,Graduate,400000 - 600000,Yes,Yes,Yes,Yes,Yes,Yes,5,3,4,5,5,3,2,4,4,5,3,5,Sanitary pad,5,More than 5 years,No,No,Yes,Yes,5,No,No,1.0,High
R073,26-35,Employed,Urban,PhD,<= 200000,Yes,Yes,Yes,Yes,Yes,Yes,4,3,3,3,3,3,3,3,4,3,3,3,Sanitary pad,3,More than 5 years,Sometimes,Yes,Yes,Yes,3,Yes,Yes,1.0,High
R074,18-25,Student,Urban,Graduate,200000 - 400000,No,No,No,Yes,No,No,2,2,5,5,5,5,5,5,5,5,5,5,Sanitary pad,3,3-5 years,Sometimes,No,Maybe,Sometimes,3,Maybe,No,0.2,Low
R075,26-35,Homemaker,Urban,Post Graduate,400000 - 600000,No,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5,1,5,5,5,5,5,Sanitary pad,5,More than 5 years,No,No,Yes,Yes,5,No,No,1.0,High
R076,36-45,Employed,Urban,Post Graduate,>= 1000000,No,Yes,No,No,Yes,Not sure,5,4,5,5,5,5,1,5,5,5,3,5,Sanitary pad,3,More than 5 years,Sometimes,No,Maybe,Sometimes,5,No,No,0.5,Moderate
R077,26-35,Employed,Urban,M Phil,600000 -1000000,Yes,Yes,Yes,Yes,Yes,Yes,4,3,3,3,5,3,4,3,3,3,3,3,Sanitary pad,4,More than 5 years,No,No,Yes,Yes,5,No,No,1.0,High
R078,26-35,Employed,Suburban,Post Graduate,600000 -1000000,Yes,Yes,Yes,Yes,No,Not sure,5,2,4,5,5,3,3,3,3,5,5,5,Menstrual cup,1,3-5 years,No,Yes,No,Yes,5,Maybe,No,0.7,Moderate
R079,18-25,Employed,Urban,Graduate,<= 200000,No,No,No,No,No,No,5,4,5,5,5,5,5,5,5,5,5,5,Sanitary pad,4,More than 5 years,No,No,Yes,Yes,1,No,No,0.0,Low
R080,18-25,Student,Urban,Post Graduate,<= 200000,No,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5,1,3,3,5,5,5,Sanitary pad,1,More than 5 years,No,No,No,Sometimes,3,No,No,1.0,High
R081,26-35,Student,Suburban,PhD,>= 1000000,No,Yes,Yes,Yes,Yes,Yes,4,3,4,3,4,4,4,4,4,4,4,4,Sanitary pad,2,More than 5 years,No,No,No,Yes,5,No,No,1.0,High
R082,18-25,Employed,Urban,Graduate,>= 1000000,No,Yes,Yes,Yes,Yes,Yes,5,3,5,5,5,5,5,5,1,5,5,5,Menstrual cup,5,1-3 years,Sometimes,Yes,No,Yes,5,Yes,No,1.0,High
R083,26-35,Employed,Urban,Graduate,200000 - 400000,Somewhat,Yes,Yes,No,Yes,Not sure,5,5,5,5,5,5,5,4,5,5,5,5,Sanitary pad,2,3-5 years,No,No,Maybe,Sometimes,3,Maybe,No,0.7,Moderate
R084,18-25,Student,Rural,Post Graduate,<= 200000,Yes,Yes,Yes,Yes,Yes,Yes,5,2,5,5,5,5,1,5,5,5,4,5,Sanitary pad,1,More than 5 years,Sometimes,No,No,Sometimes,5,No,No,1.0,High
R085,26-35,Student,Urban,PhD,400000 - 600000,Yes,Yes,Yes,Yes,Yes,Not sure,4,4,4,3,4,3,4,5,5,5,5,5,Sanitary pad,2,More than 5 years,Sometimes,No,Maybe,Yes,3,No,No,0.9,High
R086,18-25,Student,Rural,Post Graduate,200000 - 400000,Yes,Yes,No,Yes,Yes,Yes,5,4,5,3,4,5,5,5,5,5,5,5,Sanitary pad,5,More than 5 years,No,Yes,No,Yes,4,No,No,0.8,High
R087,26-35,Employed,Rural,Post Graduate,400000 - 600000,No,Yes,No,No,No,Not sure,5,4,5,5,5,5,3,4,4,5,5,5,Sanitary pad,4,More than 5 years,No,No,Maybe,Yes,3,Maybe,No,0.3,Low
R088,36-45,Employed,Urban,Post Graduate,600000 -1000000,No,Yes,Yes,No,No,Not sure,5,3,4,4,5,5,2,5,4,5,3,4,Sanitary pad,2,More than 5 years,Yes,No,Yes,Yes,3,Maybe,No,0.5,Moderate
R089,26-35,Employed,Urban,MPhil,200000 - 400000,Somewhat,No,Yes,Yes,No,Not sure,5,3,5,4,5,5,1,5,4,5,4,5,Sanitary pad,4,More than 5 years,No,No,Maybe,Yes,4,No,No,0.5,Moderate
R090,26-35,Employed,Urban,Post Graduate,600000 -1000000,No,Yes,Yes,Yes,Yes,Not sure,5,3,3,5,5,5,2,4,3,5,4,5,Sanitary pad,2,3-5 years,Sometimes,Yes,No,Yes,5,Maybe,Maybe,0.9,High
R091,18-25,Student,Rural,Post Graduate,400000 - 600000,No,Yes,Yes,Yes,Yes,Yes,4,4,5,5,5,3,2,4,2,4,1,5,Sanitary pad,4,More than 5 years,Sometimes,No,Yes,Yes,5,Maybe,Yes,1.0,High
R092,36-45,Homemaker,Urban,Graduate,<= 200000,No,Yes,Yes,Yes,Yes,Yes,3,4,1,3,3,1,5,1,3,3,3,3,Sanitary pad,1,More than 5 years,No,Yes,Maybe,Yes,1,Maybe,Maybe,1.0,High
R093,18-25,Student,Urban,Graduate,>= 1000000,No,Yes,No,Yes,No,Yes,5,3,4,5,2,3,1,3,1,5,4,5,Sanitary pad,5,More than 5 years,No,No,Maybe,Yes,2,Maybe,No,0.6,Moderate
R094,26-35,Employed,Rural,Post Graduate,600000 -1000000,No,Yes,Yes,Yes,Yes,Yes,5,3,5,5,5,5,4,5,5,5,5,5,Sanitary pad,4,3-5 years,No,No,Maybe,Yes,5,No,No,1.0,High
R095,26-35,Student,Urban,Post Graduate,400000 - 600000,No,Yes,Yes,Yes,Yes,No,4,5,5,5,5,5,5,5,5,5,5,5,Sanitary pad,2,More than 5 years,No,No,Yes,Yes,2,No,No,0.8,High
R096,18-25,Student,Suburban,Graduate,<= 200000,No,No,Yes,Yes,Yes,Yes,5,4,5,4,3,3,1,4,4,5,5,4,Sanitary pad,3,1-3 years,Sometimes,Yes,Yes,Yes,5,No,No,0.8,High
R097,18-25,Student,Suburban,Graduate,200000 - 400000,No,Yes,Yes,Yes,No,No,5,4,5,5,5,5,1,5,5,5,5,5,Sanitary pad,1,More than 5 years,No,No,Maybe,Sometimes,5,No,No,0.6,Moderate
R098,18-25,Student,Rural,Post Graduate,600000 -1000000,No,Yes,No,Yes,Yes,Not sure,3,3,3,4,3,3,3,3,3,3,4,5,Sanitary pad,2,3-5 years,Sometimes,No,Maybe,Yes,3,Maybe,Maybe,0.7,Moderate
R099,26-35,Employed,Urban,PhD,400000 - 600000,No,Yes,Yes,Yes,Yes,Not sure,5,4,4,4,5,3,3,4,4,4,4,4,Sanitary pad,4,More than 5 years,Yes,Yes,Yes,Yes,4,Yes,Yes,0.9,High
R100,18-25,Employed,Urban,12th std,600000 -1000000,Somewhat,Yes,Yes,Yes,Yes,No,2,3,3,3,5,5,3,3,3,5,4,3,Sanitary pad,3,More than 5 years,Sometimes,No,Maybe,Sometimes,5,No,No,0.8,High
R101,36-45,Employed,Urban,Post Graduate,600000 -1000000,No,Yes,Yes,Yes,No,Not sure,5,1,4,5,5,5,3,5,3,5,3,5,Sanitary pad,4,More than 5 years,Sometimes,No,Maybe,Yes,3,Maybe,Maybe,0.7,Moderate
R102,36-45,Employed,Urban,Post Graduate,400000 - 600000,Somewhat,Yes,Yes,Yes,Yes,Not sure,5,5,5,5,5,5,5,5,5,5,5,5,Sanitary pad,1,1-3 years,Sometimes,Yes,Maybe,Sometimes,3,Maybe,No,0.9,High
R103,18-25,Student,Urban,Graduate,400000 - 600000,Somewhat,Yes,Yes,Yes,Yes,Not sure,5,4,5,5,5,5,4,5,4,5,5,5,Menstrual cup,4,3-5 years,Sometimes,Yes,Maybe,Yes,3,No,Maybe,0.9,High
R104,18-25,Student,Urban,Graduate,200000 - 400000,Yes,Yes,Yes,Yes,No,No,4,5,3,4,5,5,5,4,4,4,4,5,Sanitary pad,2,More than 5 years,No,No,Maybe,Yes,4,Yes,Yes,0.6,Moderate
R105,18-25,Student,Urban,Graduate,>= 1000000,Somewhat,Yes,Yes,No,No,No,5,5,5,5,4,4,5,5,3,4,3,5,Sanitary pad,3,More than 5 years,No,No,Maybe,Yes,3,Yes,Yes,0.4,Low
R106,18-25,Student,Urban,Graduate,400000 - 600000,No,Yes,No,Yes,Yes,Not sure,5,4,4,5,5,5,4,4,4,4,3,4,Sanitary pad,3,More than 5 years,No,No,Yes,Sometimes,4,No,No,0.7,Moderate
R107,18-25,Student,Rural,Graduate,<= 200000,No,Yes,Yes,Yes,Yes,Not sure,3,3,3,3,5,5,3,5,5,5,5,5,Sanitary pad,2,More than 5 years,No,No,Maybe,Yes,5,No,No,0.9,High
R108,18-25,Student,Urban,Post Graduate,600000 -1000000,Somewhat,No,No,No,No,Not sure,3,3,4,3,3,3,3,5,3,4,4,5,Sanitary pad,3,More than 5 years,No,No,Yes,Yes,3,Yes,Maybe,0.1,Low
R109,18-25,Student,Urban,Graduate,<= 200000,Somewhat,No,No,Yes,Yes,No,5,5,5,5,5,5,5,5,5,5,5,5,Sanitary pad,4,More than 5 years,Sometimes,No,Maybe,Sometimes,5,Yes,Maybe,0.4,Low
R110,18-25,Student,Urban,Graduate,200000 - 400000,No,Yes,Yes,Yes,Yes,Yes,5,1,1,5,5,5,5,5,5,5,5,5,Sanitary pad,1,Less than 1 year,No,No,No,No,5,No,No,1.0,High
R111,18-25,Student,Urban,Post Graduate,200000 - 400000,Somewhat,Yes,Yes,Yes,Yes,Yes,1,2,1,1,1,1,5,2,1,1,1,1,Sanitary pad,1,More than 5 years,Sometimes,No,No,Yes,1,No,No,1.0,High
R112,18-25,Student,Rural,Post Graduate,200000 - 400000,Somewhat,Yes,No,Yes,Yes,Yes,1,3,5,2,2,2,1,5,5,5,5,5,Sanitary pad,3,3-5 years,No,Yes,Maybe,Sometimes,5,Maybe,No,0.8,High
R113,18-25,Student,Urban,Post Graduate,<= 200000,Somewhat,Yes,Yes,Yes,Yes,Yes,5,3,4,1,1,2,1,2,3,3,4,3,Sanitary pad,1,3-5 years,Sometimes,No,Maybe,Yes,3,No,No,1.0,High
R114,18-25,Student,Rural,Graduate,200000 - 400000,Yes,Yes,Yes,Yes,Yes,Not sure,5,5,5,5,5,5,5,5,5,5,5,5,Sanitary pad,4,1-3 years,Sometimes,No,Maybe,Yes,3,Yes,Maybe,0.9,High
R115,18-25,Student,Urban,Graduate,600000 -1000000,Somewhat,Yes,Yes,No,No,Not sure,4,4,5,4,5,4,3,4,3,4,3,5,Sanitary pad,3,More than 5 years,No,No,Maybe,Sometimes,5,No,No,0.5,Moderate
R116,18-25,Student,Suburban,Graduate,200000 - 400000,Somewhat,Yes,No,Yes,No,Not sure,5,3,3,5,5,4,1,5,4,5,4,5,Sanitary pad,5,More than 5 years,No,No,No,Yes,5,No,No,0.5,Moderate
R117,18-25,Student,Urban,Graduate,<= 200000,No,Yes,No,No,No,Not sure,5,3,5,5,5,5,5,5,5,5,5,5,Sanitary pad,1,More than 5 years,No,No,Maybe,Yes,1,Yes,No,0.3,Low
R118,18-25,Student,Rural,Post Graduate,<= 200000,Yes,Yes,Yes,Yes,No,Not sure,5,5,5,3,5,5,1,5,5,5,5,5,Sanitary pad,5,3-5 years,Sometimes,Yes,Maybe,Yes,5,Maybe,Maybe,0.7,Moderate
R119,18-25,Student,Rural,Graduate,400000 - 600000,No,Yes,Yes,No,No,No,5,1,5,3,1,3,3,3,3,3,2,3,Sanitary pad,5,1-3 years,Sometimes,No,Maybe,Yes,1,No,No,0.4,Low
